Unnamed: 0,z,H_natural,H_obs
713,-0.9946645378186848,0.0001574721175045,0.0962114441343967
712,-0.9946594964509936,0.0001575647430097,0.0962680359537242
711,-0.9946544590392248,0.0001578166272711,0.0964219308077945
710,-0.9946493972639742,0.0001580511506595,0.0965652186116361
709,-0.9946443280324934,0.0001583881084542,0.0967710912229482
708,-0.994639238832062,0.0001585835625485,0.0968905086853803
707,-0.9946341501693512,0.00015877858827,0.0970096644229492
706,-0.9946290472238905,0.0001588956540597,0.0970811886321919
705,-0.9946239471409316,0.0001591275520583,0.0972228723898745
704,-0.9946188528319192,0.0001594470180324,0.0974180579452766
703,-0.9946136985490582,0.0001596555073226,0.0975454395797106
702,-0.9946085483957622,0.0001599134213898,0.0977030184911931
701,-0.9946033728969242,0.0001600218983275,0.0977692951311244
700,-0.9945982025371592,0.0001602261805971,0.0978941063833073
699,-0.9945930063077836,0.0001604257728973,0.098016052183901
698,-0.9945878250514584,0.0001607966423311,0.0982426439410748
697,-0.9945826025492868,0.0001610104256401,0.0983732600857838
696,-0.9945773768942195,0.0001612608606086,0.0985262694588879
695,-0.9945721307432056,0.0001613633445895,0.0985888845551994
694,-0.9945668841084048,0.000161583068679,0.098723130365187
693,-0.9945616169496768,0.0001618065576116,0.0988596763981943
692,-0.9945563444250588,0.0001621648246434,0.0990785684094498
691,-0.9945510508174488,0.0001624100563632,0.0992283987303939
690,-0.9945457452475508,0.000162626557503,0.0993606754003708
689,-0.9945404285876498,0.0001627530830901,0.0994379793043691
688,-0.994535102319186,0.0001629649727637,0.0995674384862035
687,-0.994529765912706,0.0001632395147983,0.0997351766613602
686,-0.9945244067616944,0.0001635617836875,0.0999320747263157
685,-0.9945190387564004,0.0001638345644173,0.100098736789197
684,-0.9945136540363726,0.0001640119589882,0.1002071203437917
683,-0.9945082722278846,0.0001641846272092,0.1003126162192858
682,-0.9945028662247458,0.0001643556557765,0.1004171103081813
681,-0.994497493653586,0.0001647290556121,0.1006452480762817
680,-0.9944920533852816,0.0001649396575147,0.1007739204629334
679,-0.9944866098897164,0.0001652437316098,0.10095970197318
678,-0.9944811427775222,0.0001653698407865,0.1010367514610386
677,-0.994475675701574,0.0001655757331834,0.1011625464599319
676,-0.9944701868348144,0.0001657678556778,0.1012799283998145
675,-0.994464703658075,0.0001661401569165,0.101507394953243
674,-0.9944591928987228,0.0001664162128875,0.1016760581048996
673,-0.9944536622130034,0.0001666733427729,0.1018331579013227
672,-0.9944481210830272,0.0001668230687319,0.101924636640346
671,-0.9944425672593454,0.0001670078721469,0.1020375468095789
670,-0.9944370042574526,0.0001672588719742,0.1021909012969987
669,-0.9944314222503912,0.0001675973294725,0.1023976901889449
668,-0.994425831375272,0.0001679208277954,0.1025953394065365
667,-0.9944202137464206,0.0001681340695578,0.10272562468015
666,-0.9944145948908636,0.0001683123415222,0.1028345442997763
665,-0.9944089540048024,0.000168479070204,0.1029364112684373
664,-0.9944033145220684,0.0001687903062441,0.1031265685442549
663,-0.9943976413639314,0.0001690980096484,0.1033145674697726
662,-0.9943919666044516,0.0001694448756806,0.1035264937612632
661,-0.9943862615004376,0.0001696219710108,0.1036346944874953
660,-0.9943805623425892,0.0001698272614771,0.1037601217221197
659,-0.9943748333497276,0.0001699847870056,0.1038563657989873
658,-0.994369113287658,0.0001703449742275,0.1040764309973753
657,-0.9943633531163948,0.0001706344848154,0.104253314576483
656,-0.9943575906366452,0.0001709838833543,0.104466788164955
