z,H(z),H(z)_phys
9.5931476351837,4.241103405421977e+26,3.346654697218482e+34
9.790287915161835,4.241103405421977e+26,3.346654697218482e+34
9.99109700929496,4.241103405421977e+26,3.346654697218482e+34
10.195643194838793,4.241103405421977e+26,3.346654697218482e+34
10.403996019700331,4.241103405421977e+26,3.346654697218482e+34
10.61622632608502,4.241103405421977e+26,3.346654697218482e+34
10.83240627458378,4.241103405421977e+26,3.346654697218482e+34
11.052609368708412,4.241103405421977e+26,3.346654697218482e+34
11.276910479883604,4.241103405421977e+26,3.346654697218482e+34
11.505385872903911,4.241103405421977e+26,3.346654697218482e+34
11.738113231864784,4.241103405421977e+26,3.346654697218482e+34
11.97517168657587,4.241103405421977e+26,3.346654697218482e+34
12.216641839466066,4.241103405421977e+26,3.346654697218482e+34
12.462605792989113,4.241103405421977e+26,3.346654697218482e+34
12.713147177539458,4.241103405421977e+26,3.346654697218482e+34
12.9683511798874,4.241103405421977e+26,3.346654697218482e+34
13.228304572143518,4.241103405421977e+26,3.346654697218482e+34
13.49309574126218,4.241103405421977e+26,3.346654697218482e+34
13.76281471909391,4.241103405421977e+26,3.346654697218482e+34
14.037553212997386,4.241103405421977e+26,3.346654697218482e+34
14.3174046370208,4.241103405421977e+26,3.346654697218482e+34
14.60246414366368,4.241103405421977e+26,3.346654697218482e+34
14.892828656229796,4.241103405421977e+26,3.346654697218482e+34
15.188596901781992,4.241103405421977e+26,3.346654697218482e+34
15.48986944471065,4.241103405421977e+26,3.346654697218482e+34
15.79674872092653,4.241103405421977e+26,3.346654697218482e+34
16.109339072690133,4.241103405421977e+26,3.346654697218482e+34
16.42774678408921,4.241103405421977e+26,3.346654697218482e+34
16.752080117176362,4.241103405421977e+26,3.346654697218482e+34
17.08244934877952,4.241103405421977e+26,3.346654697218482e+34
17.41896680799711,4.241103405421977e+26,3.346654697218482e+34
17.761746914391196,4.241103405421977e+26,3.346654697218482e+34
18.1109062168914,4.241103405421977e+26,3.346654697218482e+34
18.466563433422632,4.241103405421977e+26,3.346654697218482e+34
18.828839491270717,4.241103405421977e+26,3.346654697218482e+34
19.197857568198785,4.241103405421977e+26,3.346654697218482e+34
19.57374313432912,4.241103405421977e+26,3.346654697218482e+34
19.956623994804357,4.241103405421977e+26,3.346654697218482e+34
20.34663033324245,4.241103405421977e+26,3.346654697218482e+34
20.7438947560008,4.241103405421977e+26,3.346654697218482e+34
21.14855233726359,4.241103405421977e+26,3.346654697218482e+34
21.56074066496859,4.241103405421977e+26,3.346654697218482e+34
21.980599887588536,4.241103405421977e+26,3.346654697218482e+34
22.408272761782943,4.241103405421977e+26,3.346654697218482e+34
22.843904700937205,4.241103405421977e+26,3.346654697218482e+34
23.287643824604505,4.241103405421977e+26,3.346654697218482e+34
23.73964100886812,4.241103405421977e+26,3.346654697218482e+34
24.200049937640948,4.241103405421977e+26,3.346654697218482e+34
24.66902715491952,4.241103405421977e+26,3.346654697218482e+34
25.14673211801092,4.241103405421977e+26,3.346654697218482e+34
25.63332725174981,4.241103405421977e+26,3.346654697218482e+34
26.128978003724647,4.241103405421977e+26,3.346654697218482e+34
26.63385290053173,4.241103405421977e+26,3.346654697218482e+34
27.14812360507581,4.241103405421977e+26,3.346654697218482e+34
27.671964974937698,4.241103405421977e+26,3.346654697218482e+34
28.20555512182745,4.241103405421977e+26,3.346654697218482e+34
28.749075472144376,4.241103405421977e+26,3.346654697218482e+34
29.302710828664,4.241103405421977e+26,3.346654697218482e+34
29.866649433372743,4.241103405421977e+26,3.346654697218482e+34
30.441083031472647,4.241103405421977e+26,3.346654697218482e+34
31.0262069365765,4.241103405421977e+26,3.346654697218482e+34
31.62222009711666,4.241103405421977e+26,3.346654697218482e+34
32.22932516398975,4.241103405421977e+26,3.346654697218482e+34
32.84772855945983,4.241103405421977e+26,3.346654697218482e+34
33.47764054734464,4.241103405421977e+26,3.346654697218482e+34
34.11927530450728,4.241103405421977e+26,3.346654697218482e+34
34.772850993678695,4.241103405421977e+26,3.346654697218482e+34
35.43858983763548,4.241103405421977e+26,3.346654697218482e+34
36.11671819475767,4.241103405421977e+26,3.346654697218482e+34
36.80746663599349,4.241103405421977e+26,3.346654697218482e+34
37.51107002325569,4.241103405421977e+26,3.346654697218482e+34
38.22776758927724,4.241103405421977e+26,3.346654697218482e+34
38.95780301895274,4.241103405421977e+26,3.346654697218482e+34
39.7014245321944,4.241103405421977e+26,3.346654697218482e+34
40.45888496832912,4.241103405421977e+26,3.346654697218482e+34
41.23044187206672,4.241103405421977e+26,3.346654697218482e+34
42.01635758106799,4.241103405421977e+26,3.346654697218482e+34
42.81689931514194,4.241103405421977e+26,3.346654697218482e+34
43.63233926710397,4.241103405421977e+26,3.346654697218482e+34
44.462954695324,4.241103405421977e+26,3.346654697218482e+34
45.30902801799737,4.241103405421977e+26,3.346654697218482e+34
46.17084690917022,4.241103405421977e+26,3.346654697218482e+34
47.048704396551344,4.241103405421977e+26,3.346654697218482e+34
47.94289896114532,4.241103405421977e+26,3.346654697218482e+34
48.85373463873894,4.241103405421977e+26,3.346654697218482e+34
49.78152112327671,4.241103405421977e+26,3.346654697218482e+34
50.726573872160245,4.241103405421977e+26,3.346654697218482e+34
51.68921421350677,4.241103405421977e+26,3.346654697218482e+34
52.66976945540476,4.241103405421977e+26,3.346654697218482e+34
53.66857299720181,4.241103405421977e+26,3.346654697218482e+34
54.68596444286409,4.241103405421977e+26,3.346654697218482e+34
55.72228971644549,4.241103405421977e+26,3.346654697218482e+34
56.77790117970507,4.241103405421977e+26,3.346654697218482e+34
57.85315775191451,4.241103405421977e+26,3.346654697218482e+34
58.9484250318941,4.241103405421977e+26,3.346654697218482e+34
60.06407542232037,4.241103405421977e+26,3.346654697218482e+34
61.20048825634718,4.241103405421977e+26,3.346654697218482e+34
62.35804992658254,4.241103405421977e+26,3.346654697218482e+34
63.53715401646701,4.241103405421977e+26,3.346654697218482e+34
64.73820143409584,4.241103405421977e+26,3.346654697218482e+34
65.96160054853215,4.241103405421977e+26,3.346654697218482e+34
67.20776732865693,4.241103405421977e+26,3.346654697218482e+34
68.4771254846024,4.241103405421977e+26,3.346654697218482e+34
69.77010661181889,4.241103405421977e+26,3.346654697218482e+34
71.08715033782136,4.241103405421977e+26,3.346654697218482e+34
72.42870447166759,4.241103405421977e+26,3.346654697218482e+34
73.7952251562183,4.241103405421977e+26,3.346654697218482e+34
75.18717702322999,4.241103405421977e+26,3.346654697218482e+34
76.6050333513357,4.241103405421977e+26,3.346654697218482e+34
78.0492762269642,4.241103405421977e+26,3.346654697218482e+34
