,z,a,H_natural,H_obs_km_s_Mpc
483,14.934085801020363,0.06275854244088253,20.161659414539212,1590956544.4012892
482,15.074296843197395,0.06221111938860316,20.4287885517954,1612035704.622175
481,15.215741664117317,0.06166847133565468,20.699460774199256,1633394449.6920633
480,15.358431120342903,0.06113055663121795,20.973723159412554,1655036494.5092447
479,15.50237616396867,0.06059733398778066,21.251623412471087,1676965603.4780934
478,15.647587843461416,0.06006876247796852,21.533209874185673,1699185591.1719913
477,15.794077304508253,0.05954480153140399,21.81853152965659,1721700323.0052013
476,15.941855790872136,0.05902541093159203,22.107638016903152,1744513715.9138277
475,16.0909346452548,0.05851055081283364,22.40057963560942,1767629739.0459394
474,16.241325310167458,0.05800018165716562,22.697407355988446,1791052414.4610484
473,16.393039328809014,0.05749426429132756,22.99817282776588,1814785817.8390057
472,16.54608834595202,0.05699275988375527,23.30292838928499,1838834079.1984785
471,16.70048410883656,0.0564956299415999,23.611727076734933,1863201383.6251535
470,16.856238468071865,0.056002836307773675,23.924622633503436,1887891972.009756
469,17.013363378545844,0.05551434115802124,24.241669519655904,1912910141.7960474
468,17.171870900342785,0.05503010699801618,24.56292292154293,1938260247.7389526
467,17.33177319966897,0.05455009666048333,24.8884387615374,1963946702.6729164
466,17.49308254978644,0.054074273302346126,25.218273707903283,1989973978.290648
465,17.655811331955153,0.053602600401898404,25.552485184798197,2016346605.9324257
464,17.819972036383145,0.053135041756001554,25.891131382410798,2043069177.3860362
463,17.985577263185363,0.05267156147730543,26.234271267235837,2070146345.6975799
462,18.152639723350703,0.05221212399149398,26.58196459248788,2097582825.9932184
461,18.32117223971762,0.051756694034554865,26.934271908656044,2125383396.3120484
460,18.491187747958424,0.051305236650072465,27.29125457420185,2153552898.4502683
459,18.662699297572054,0.05085771718654518,27.652974766401556,2182096238.8167467
458,18.83572005288578,0.05041410129472542,28.01949549233568,2211018389.3002086
457,19.01026329406559,0.04997435492498333,28.390880600027128,2240324388.1481404
456,19.18634241813546,0.049538444324693384,28.7671947897302,2270019340.85761
455,19.36397094000574,0.049106336035643454,29.148503625372907,2300108421.078176
454,19.54316249351039,0.04867799689146699,29.53487354615387,2330596871.527002
453,19.72393083245349,0.04825339401509722,29.92637187829682,2361490004.916402
452,19.906289831664925,0.04783249481624366,30.3230668469643,2392793204.893953
451,20.0902534880653,0.04741526698889072,30.72502758833292,2424511926.995351
450,20.275835921740295,0.047001678508818055,31.13232416183245,2456651699.6101985
449,20.46305137702446,0.04659169763114249,31.545027562551,2489218124.9608994
448,20.651914223594503,0.04618529288788152,31.96320973380838,2522216880.094819
447,20.842438957572256,0.04578243308553799,32.38694357990025,2555653717.8899283
446,21.03464020263732,0.04538308730270578,32.816302979015276,2589534468.0740952
445,21.228532711149473,0.04498722488769653,33.251362796327555,2623865038.2582073
444,21.42413136528106,0.04459481545618684,33.692198897267026,2658651414.983341
443,21.621451178159163,0.04420582888888633,34.13888816096991,2693899664.782136
442,21.820507295018,0.043820235329225674,34.59150849391216,2729615935.2546086
441,22.021314994361404,0.043438005181065,35.05013884372802,2765806456.158578
440,22.223889689135465,0.04305910910642231,35.51485921321645,2802477540.5149097
439,22.42824692791159,0.04268351802322158,35.985750674538004,2839635585.7277937
438,22.63440239607991,0.042311203103060635,36.46289538360475,2877287074.720251
437,22.842371917053217,0.04194213576899837,36.94637659466597,2915438577.0850916
436,23.05217145348151,0.04157628769336133,37.436278675092254,2954096750.2515297
435,23.26381710847714,0.041213630795569514,37.93268712036074,2993268340.667666
434,23.477325126850854,0.04085413723998099,38.435688569244384,3032960184.9990745
433,23.692711896358666,0.04049777943375535,38.94537081920811,3073179211.343712
